,scc,p
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98_0,-467.5,0.01058279582164446
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum_0,1900.5,6.549272375597257e-07
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia_0,360.5,0.038114808543825096
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium_0,-886.0,0.038114808543825096
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus_0,2566.0,1.9706917599131853e-08
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania_0,1010.5,0.004651937070729991
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium]_0,1590.5,1.5523186767919947e-05
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__cc_115_0,3228.0,1.1687470739782918e-12
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae_0,2559.0,1.5310396934067352e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32_0,-946.5,0.03281571799151635
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella_0,-1492.0,0.00987877947075458
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila_0,-1312.0,0.035621594065761084
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae_0,-923.0,0.00921232325215291
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus_0,-1288.0,0.00010218196680615197
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39_0,-1732.0,0.0007652594123377251
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28_0,-819.0,0.013489167058278023
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila_0,-2478.5,2.2780536953565055e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia_0,600.5,0.015872641412112226
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis_0,-4355.0,4.756055465470106e-12
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium_0,1971.5,0.003491069432715921
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia_0,1140.5,0.00015171868738258825
